epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.218,1.14581,1.22823,1.34972,0.75664,0.64013,0.71017,0.50862,1.13141,1.063,1.31243,0.0033309,0.0033309,0.0033309
2,766.481,1.15213,1.2318,1.35499,0.7448,0.60606,0.68312,0.48407,1.16326,1.13551,1.33068,0.00649929,0.00649929,0.00649929
3,1126.89,1.20159,1.32096,1.38425,0.71274,0.58011,0.65426,0.44767,1.23181,1.21519,1.38876,0.00950269,0.00950269,0.00950269
4,1481.29,1.24496,1.40585,1.41381,0.71609,0.57567,0.6507,0.44692,1.22756,1.2267,1.38702,0.0092575,0.0092575,0.0092575
5,1837.28,1.24575,1.41649,1.41146,0.71766,0.5816,0.6479,0.44498,1.23197,1.21839,1.38389,0.00901,0.00901,0.00901
6,2193.12,1.24361,1.40434,1.40966,0.71022,0.56972,0.64681,0.44217,1.22856,1.23002,1.38205,0.0087625,0.0087625,0.0087625
7,2549.48,1.23632,1.39113,1.40638,0.71611,0.56592,0.64339,0.44393,1.21999,1.22625,1.37486,0.008515,0.008515,0.008515
8,2905.54,1.23431,1.38112,1.39977,0.72448,0.58457,0.66485,0.45809,1.21002,1.18913,1.36462,0.0082675,0.0082675,0.0082675
9,3262.28,1.22211,1.36686,1.39036,0.71052,0.58161,0.6549,0.45678,1.1984,1.20547,1.36232,0.00802,0.00802,0.00802
10,3619.01,1.21762,1.35107,1.39108,0.73269,0.5887,0.66687,0.46302,1.20198,1.17316,1.36059,0.0077725,0.0077725,0.0077725
11,3974.8,1.21336,1.33718,1.38651,0.73325,0.59953,0.67778,0.47456,1.18551,1.14848,1.34871,0.007525,0.007525,0.007525
12,4330.94,1.20569,1.32135,1.37742,0.74645,0.60766,0.68642,0.48107,1.17226,1.13145,1.33817,0.0072775,0.0072775,0.0072775
13,4685.81,1.20169,1.31486,1.37655,0.73225,0.61654,0.68929,0.48343,1.17031,1.12189,1.3392,0.00703,0.00703,0.00703
14,5039.82,1.1942,1.3086,1.36896,0.74789,0.61603,0.69683,0.49011,1.16241,1.10238,1.33202,0.0067825,0.0067825,0.0067825
15,5393.24,1.18758,1.29088,1.35917,0.74238,0.61597,0.69556,0.48879,1.15884,1.0943,1.32205,0.006535,0.006535,0.006535
16,5746.66,1.17895,1.27687,1.35649,0.76019,0.61632,0.70301,0.49558,1.14913,1.08353,1.31529,0.0062875,0.0062875,0.0062875
17,6101.53,1.179,1.26646,1.35805,0.75599,0.62353,0.70239,0.49635,1.14558,1.07925,1.31818,0.00604,0.00604,0.00604
18,6457.43,1.16821,1.25875,1.34711,0.75006,0.63261,0.70719,0.50072,1.13874,1.06708,1.30509,0.0057925,0.0057925,0.0057925
19,6813.8,1.15982,1.24543,1.34069,0.77574,0.61994,0.71258,0.50601,1.13344,1.056,1.30182,0.005545,0.005545,0.005545
20,7170.53,1.15387,1.22682,1.33728,0.74866,0.64605,0.71671,0.50862,1.13178,1.04402,1.30058,0.0052975,0.0052975,0.0052975
21,7526.49,1.15201,1.21885,1.33424,0.76342,0.64075,0.718,0.5114,1.12907,1.04651,1.29801,0.00505,0.00505,0.00505
22,7880.45,1.14663,1.21034,1.32676,0.7716,0.63106,0.71917,0.51605,1.1155,1.03254,1.28964,0.0048025,0.0048025,0.0048025
23,8236.34,1.12963,1.19364,1.31879,0.76471,0.64573,0.72378,0.51914,1.10847,1.0234,1.28714,0.004555,0.004555,0.004555
24,8591.65,1.1332,1.18299,1.32071,0.75878,0.64731,0.72373,0.51846,1.11263,1.02169,1.28737,0.0043075,0.0043075,0.0043075
25,8946.89,1.12318,1.16553,1.3129,0.76978,0.64059,0.72435,0.52053,1.10355,1.01755,1.28235,0.00406,0.00406,0.00406
26,9302.02,1.12431,1.16933,1.31248,0.78918,0.63944,0.72917,0.5243,1.10294,1.00908,1.27846,0.0038125,0.0038125,0.0038125
27,9657.59,1.10655,1.13956,1.30042,0.7695,0.65128,0.72969,0.52562,1.10077,1.00402,1.27469,0.003565,0.003565,0.003565
28,10012.4,1.10927,1.13351,1.30185,0.7691,0.65566,0.73068,0.52544,1.09646,1.00208,1.27207,0.0033175,0.0033175,0.0033175
29,10367.4,1.10229,1.11791,1.29531,0.78154,0.65056,0.73245,0.52733,1.09347,0.99519,1.27153,0.00307,0.00307,0.00307
30,10722.7,1.09602,1.11204,1.28962,0.78158,0.65049,0.73476,0.52998,1.08973,0.98937,1.26589,0.0028225,0.0028225,0.0028225
31,11118.5,1.08787,0.99359,1.27486,0.77973,0.65149,0.7359,0.53099,1.09135,0.98596,1.26768,0.002575,0.002575,0.002575
32,11473.9,1.07593,0.97453,1.2686,0.77368,0.66017,0.73699,0.53343,1.08737,0.98235,1.26591,0.0023275,0.0023275,0.0023275
33,11826.6,1.06535,0.94982,1.26095,0.7696,0.66685,0.73895,0.53463,1.08887,0.98251,1.2668,0.00208,0.00208,0.00208
34,12180.9,1.05661,0.93122,1.25091,0.77691,0.66621,0.74086,0.53801,1.08758,0.9771,1.26464,0.0018325,0.0018325,0.0018325
35,12535.2,1.04334,0.91144,1.24637,0.77336,0.66654,0.74138,0.53908,1.08627,0.9736,1.26369,0.001585,0.001585,0.001585
36,12888.6,1.0361,0.90024,1.23684,0.77497,0.66809,0.74192,0.53916,1.08475,0.97139,1.26177,0.0013375,0.0013375,0.0013375
37,13242.5,1.03088,0.88629,1.23277,0.77347,0.67331,0.74251,0.54047,1.08375,0.96969,1.26036,0.00109,0.00109,0.00109
38,13596.1,1.01773,0.87393,1.22081,0.77447,0.67214,0.74208,0.54015,1.08464,0.96921,1.26076,0.0008425,0.0008425,0.0008425
39,13950.1,1.01234,0.85835,1.21895,0.77524,0.6704,0.74247,0.54023,1.08511,0.96887,1.26027,0.000595,0.000595,0.000595
40,14304,1.00146,0.8473,1.20975,0.77526,0.66838,0.74186,0.5405,1.0854,0.96902,1.26034,0.0003475,0.0003475,0.0003475
